reactant_1,coefficient_1,reactant_2,coefficient_2,reactant_3,coefficient_3,product_1,coefficient_p1,product_2,coefficient_p2,product_3,coefficient_p3
CH4,1,O2,2,,,CO2,1,H2O,2,,
CH3COOH,1,NH3,1,,,CH3COONH4,1,,,,
CH3COOH,1,C2H5OH,1,,,CH3COOC2H5,1,H2O,1,,
CH3COOC2H5,1,H2O,1,,,CH3COOH,1,C2H5OH,1,,
C2H5OH,1,,,,,C2H4,1,H2O,1,,
C2H4,1,H2O,1,,,C2H5OH,1,,,,
CH3OH,2,,,,,CH3OCH3,1,H2O,1,,
C6H6,1,H2,3,,,C6H12,1,,,,
CH3COOH,1,,,,,CH4,1,CO2,1,,
C6H5NO2,1,H2,3,,,C6H5NH2,1,,,,
C6H6,1,SO3,1,,,C6H5SO3H,1,,,,
CH3OH,1,H3PO4,1,,,CH3OPO3H2,1,,,,
